DATE,VALUE
2005-03-14,.
2005-03-15,-0.75238
2005-03-16,-0.80818
2005-03-17,0.18012
2005-03-18,-0.04705
2005-03-21,-0.49342
2005-03-22,-1.01962
2005-03-23,0.06998
2005-03-24,-0.09467
2005-03-25,.
2005-03-28,.
2005-03-29,-0.75961
2005-03-30,1.37726
2005-03-31,-0.06941
2005-04-01,-0.64968
2005-04-04,0.27282
2005-04-05,0.44808
2005-04-06,0.22685
2005-04-07,0.59709
2005-04-08,-0.83449
2005-04-11,0.00085
2005-04-12,0.55452
2005-04-13,-1.17616
2005-04-14,-1.00018
2005-04-15,-1.67205
2005-04-18,0.29406
2005-04-19,0.59338
2005-04-20,-1.32549
2005-04-21,1.97363
2005-04-22,-0.67503
2005-04-25,0.86623
2005-04-26,-0.89149
2005-04-27,0.40287
2005-04-28,-1.13803
2005-04-29,1.19225
2005-05-02,0.45901
2005-05-03,-0.08519
2005-05-04,1.24702
2005-05-05,-0.25688
2005-05-06,-0.10916
2005-05-09,0.63943
2005-05-10,-1.07054
2005-05-11,0.41930
2005-05-12,-1.00332
2005-05-13,-0.45801
2005-05-16,1.00862
2005-05-17,0.69573
2005-05-18,1.00187
2005-05-19,0.46560
2005-05-20,-0.15112
2005-05-23,0.38511
2005-05-24,0.01759
2005-05-25,-0.34001
2005-05-26,0.63949
2005-05-27,0.09686
2005-05-30,.
2005-05-31,.
2005-06-01,0.90390
2005-06-02,0.16802
2005-06-03,-0.68671
2005-06-06,0.12458
2005-06-07,-0.02088
2005-06-08,-0.21633
2005-06-09,0.52399
2005-06-10,-0.23482
2005-06-13,0.22619
2005-06-14,0.25732
2005-06-15,0.22178
2005-06-16,0.36301
2005-06-17,0.49547
2005-06-20,-0.07067
2005-06-21,-0.20475
2005-06-22,0.02225
2005-06-23,-1.08330
2005-06-24,-0.76287
2005-06-27,-0.07385
2005-06-28,0.91376
2005-06-29,-0.14315
2005-06-30,-0.71009
2005-07-01,0.26105
2005-07-04,.
2005-07-05,.
2005-07-06,-0.83403
2005-07-07,0.24520
2005-07-08,1.16791
2005-07-11,0.62548
2005-07-12,0.22715
2005-07-13,0.08836
2005-07-14,0.26241
2005-07-15,0.11578
2005-07-18,-0.55297
2005-07-19,0.67315
2005-07-20,0.47586
2005-07-21,-0.66062
2005-07-22,0.54114
2005-07-25,-0.37692
2005-07-26,0.17331
2005-07-27,0.45729
2005-07-28,0.56032
2005-07-29,-0.76705
2005-08-01,0.09480
2005-08-02,0.70992
2005-08-03,0.07395
2005-08-04,-0.73733
2005-08-05,-0.76384
2005-08-08,-0.26826
2005-08-09,0.67450
2005-08-10,-0.18272
2005-08-11,0.70619
2005-08-12,-0.59945
2005-08-15,0.28284
2005-08-16,-1.17760
2005-08-17,0.07381
2005-08-18,-0.09998
2005-08-19,0.05660
2005-08-22,0.16561
2005-08-23,-0.34050
2005-08-24,-0.65540
2005-08-25,0.23148
2005-08-26,-0.60129
2005-08-29,0.59580
2005-08-30,-0.31923
2005-08-31,0.98642
2005-09-01,0.10325
2005-09-02,-0.29224
2005-09-05,.
2005-09-06,.
2005-09-07,0.24080
2005-09-08,-0.37934
2005-09-09,0.79648
2005-09-12,-0.07411
2005-09-13,-0.75450
2005-09-14,-0.32814
2005-09-15,0.04645
2005-09-16,0.82917
2005-09-19,-0.55658
2005-09-20,-0.78634
2005-09-21,-0.91211
2005-09-22,0.36523
2005-09-23,0.05516
2005-09-26,0.02798
2005-09-27,0.00247
2005-09-28,0.10118
2005-09-29,0.88669
2005-09-30,0.09204
2005-10-03,-0.17171
2005-10-04,-0.99698
2005-10-05,-1.48872
2005-10-06,-0.40957
2005-10-07,0.37012
2005-10-10,-0.71662
2005-10-11,-0.20719
2005-10-12,-0.60682
2005-10-13,-0.07133
2005-10-14,0.82679
2005-10-17,0.29750
2005-10-18,-1.00496
2005-10-19,1.49558
2005-10-20,-1.50197
2005-10-21,0.15198
2005-10-24,1.67770
2005-10-25,-0.23679
2005-10-26,-0.43124
2005-10-27,-1.04752
2005-10-28,1.65493
2005-10-31,0.71762
2005-11-01,-0.35211
2005-11-02,0.99771
2005-11-03,0.42642
2005-11-04,0.01639
2005-11-07,0.21883
2005-11-08,-0.34511
2005-11-09,0.16905
2005-11-10,0.84463
2005-11-11,0.30545
2005-11-14,-0.07775
2005-11-15,-0.38500
2005-11-16,0.17901
2005-11-17,0.94135
2005-11-18,0.44014
2005-11-21,0.52713
2005-11-22,0.50843
2005-11-23,0.34728
2005-11-24,.
2005-11-25,.
2005-11-28,-0.85078
2005-11-29,0.00159
2005-11-30,-0.63619
2005-12-01,1.21571
2005-12-02,0.03242
2005-12-05,-0.23635
2005-12-06,0.12757
2005-12-07,-0.50091
2005-12-08,-0.12168
2005-12-09,0.28109
2005-12-12,0.08417
2005-12-13,0.55537
2005-12-14,0.41896
2005-12-15,-0.14143
2005-12-16,-0.28483
2005-12-19,-0.58391
2005-12-20,-0.02381
2005-12-21,0.25166
2005-12-22,0.42208
2005-12-23,0.04258
2005-12-26,.
2005-12-27,.
2005-12-28,0.12972
2005-12-29,-0.29805
2005-12-30,-0.48867
2006-01-02,.
2006-01-03,.
2006-01-04,0.36728
2006-01-05,0.00157
2006-01-06,0.93994
2006-01-09,0.36563
2006-01-10,-0.03565
2006-01-11,0.34815
2006-01-12,-0.62742
2006-01-13,0.12052
2006-01-16,.
2006-01-17,.
2006-01-18,-0.38973
2006-01-19,0.55637
2006-01-20,-1.83263
2006-01-23,0.18470
2006-01-24,0.24054
2006-01-25,-0.17208
2006-01-26,0.72350
2006-01-27,0.77640
2006-01-30,0.11529
2006-01-31,-0.39838
2006-02-01,0.18593
2006-02-02,-0.90607
2006-02-03,-0.53587
2006-02-06,0.07832
2006-02-07,-0.80947
2006-02-08,0.86629
2006-02-09,-0.14775
2006-02-10,0.25400
2006-02-13,-0.32597
2006-02-14,1.00328
2006-02-15,0.35044
2006-02-16,0.73281
2006-02-17,-0.16597
2006-02-20,.
2006-02-21,.
2006-02-22,0.75135
2006-02-23,-0.37751
2006-02-24,0.12735
2006-02-27,0.36373
2006-02-28,-1.04009
2006-03-01,0.82614
2006-03-02,-0.16263
2006-03-03,-0.14816
2006-03-06,-0.69685
2006-03-07,-0.18619
2006-03-08,0.20300
2006-03-09,-0.48808
2006-03-10,0.73493
2006-03-13,0.19897
2006-03-14,1.03961
2006-03-15,0.42698
2006-03-16,0.17728
2006-03-17,0.14709
2006-03-20,-0.16600
2006-03-21,-0.60150
2006-03-22,0.60205
2006-03-23,-0.25823
2006-03-24,0.09834
2006-03-27,-0.10284
2006-03-28,-0.64382
2006-03-29,0.74697
2006-03-30,-0.20263
2006-03-31,-0.41684
2006-04-03,0.23015
2006-04-04,0.62567
